ACCESSION,DISPLAY_NAME,FILENAME,ASM_NAME,ASM_LENGTH,TOTAL_PROTEIN,NCBI_TAXID,phylum,subphylum,class,subclass,order,family,genus,species,TOTAL_IDP
GCA_000836455.1,Cryptococcus gattii VGII 99/473 (GCA_000836455),Cryptococcus_gattii_vgii_99_473_gca_000836455.Cryp_gatt_99_473_V1,Cryp_gatt_99_473_V1,17403577,6488,1859096,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII,3319
GCA_000875795.1,Cryptococcus gattii VGII CA1014 (GCA_000875795),Cryptococcus_gattii_vgii_ca1014_gca_000875795.Cryp_gatt_CA1014_V1,Cryp_gatt_CA1014_V1,17527606,6481,1859096,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII,3339
GCA_000835765.1,Cryptococcus gattii VGII CBS 10090 (GCA_000835765),Cryptococcus_gattii_vgii_cbs_10090_gca_000835765.Cryp_gatt_CBS10090_V1,Cryp_gatt_CBS10090_V1,17478748,6485,1859096,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII,3326
GCA_000836315.1,Cryptococcus gattii VGII LA55 (GCA_000836315),Cryptococcus_gattii_vgii_la55_gca_000836315.Cryp_gatt_LA55_V1,Cryp_gatt_LA55_V1,17360036,6497,1859096,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII,3326
GCA_000875855.1,Cryptococcus gattii VGII MMRL2647 (GCA_000875855),Cryptococcus_gattii_vgii_mmrl2647_gca_000875855.Cryp_gatt_MMRL2647_V2,Cryp_gatt_MMRL2647_V2,17485654,6475,1859096,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII,3312
GCA_000149475.3,Cryptococcus gattii VGII R265 (GCA_000149475),Cryptococcus_gattii_vgii_r265_gca_000149475.CNB2,CNB2,17475811,6472,1859096,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII,3315
GCA_000836375.1,Cryptococcus gattii VGII Ram5 (GCA_000836375),Cryptococcus_gattii_vgii_ram5_gca_000836375.Cryp_gatt_Ram5_V1,Cryp_gatt_Ram5_V1,17453840,6463,1859096,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGII,3309
GCA_000835755.1,Cryptococcus gattii VGIV IND107 (GCA_000835755),Cryptococcus_gattii_vgiv_ind107_gca_000835755.Cryp_gatt_IND107_V2,Cryp_gatt_IND107_V2,17649378,6696,1859121,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGIV,3334
GCA_000185945.1,Cryptococcus gattii WM276 (GCA_000185945),Cryptococcus_gattii_wm276_gca_000185945.ASM18594v1,ASM18594v1,18374760,6565,37769,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus gattii VGI,3376
GCA_000091045.1,Cryptococcus neoformans var. neoformans JEC21,Cryptococcus_neoformans.ASM9104v1,ASM9104v1,19051922,6632,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3640
GCA_002215885.1,Cryptococcus neoformans var. grubii 125.91 (GCA_002215885),Cryptococcus_neoformans_var_grubii_125_91_gca_002215885.Cryp_neof_125_91_V1,Cryp_neof_125_91_V1,18910907,6939,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3592
GCA_002221985.1,Cryptococcus neoformans var. grubii A1-35-8 (GCA_002221985),Cryptococcus_neoformans_var_grubii_a1_35_8_gca_002221985.Cryp_neof_grubii_A1-35-8_V1,Cryp_neof_grubii_A1-35-8_V1,18819906,7114,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3632
GCA_002222375.1,Cryptococcus neoformans var. grubii A2-102-5 (GCA_002222375),Cryptococcus_neoformans_var_grubii_a2_102_5_gca_002222375.Cryp_neof_A2_102_5_V1,Cryp_neof_A2_102_5_V1,18668348,6915,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3574
GCA_002222215.1,Cryptococcus neoformans var. grubii A5-35-17 (GCA_002222215),Cryptococcus_neoformans_var_grubii_a5_35_17_gca_002222215.Cryp_neof_grubii_A5-35-17_V1,Cryp_neof_grubii_A5-35-17_V1,18811654,7144,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3649
GCA_002220445.1,Cryptococcus neoformans var. grubii AD1-7a (GCA_002220445),Cryptococcus_neoformans_var_grubii_ad1_7a_gca_002220445.Cryp_neof_AD1_7a_V1,Cryp_neof_AD1_7a_V1,18468517,6878,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3542
GCA_002215765.1,Cryptococcus neoformans var. grubii AD1-83a (GCA_002215765),Cryptococcus_neoformans_var_grubii_ad1_83a_gca_002215765.Cryp_neof_AD1_83a_V1,Cryp_neof_AD1_83a_V1,18636876,6969,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3569
GCA_002215775.1,Cryptococcus neoformans var. grubii AD2-60a (GCA_002215775),Cryptococcus_neoformans_var_grubii_ad2_60a_gca_002215775.Cryp_neof_AD2_60a_V1,Cryp_neof_AD2_60a_V1,18629733,6862,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3555
GCA_002222225.1,Cryptococcus neoformans var. grubii Br795 (GCA_002222225),Cryptococcus_neoformans_var_grubii_br795_gca_002222225.Cryp_neof_Br795_V1,Cryp_neof_Br795_V1,18930238,6945,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3581
GCA_002222465.1,Cryptococcus neoformans var. grubii Bt120 (GCA_002222465),Cryptococcus_neoformans_var_grubii_bt120_gca_002222465.Cryp_neof_Bt120_V1,Cryp_neof_Bt120_V1,18851366,6906,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3567
GCA_002222335.1,Cryptococcus neoformans var. grubii Bt15 (GCA_002222335),Cryptococcus_neoformans_var_grubii_bt15_gca_002222335.Cryp_neof_Bt15_V1,Cryp_neof_Bt15_V1,18726126,6917,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3577
GCA_002215705.1,Cryptococcus neoformans var. grubii Bt1 (GCA_002215705),Cryptococcus_neoformans_var_grubii_bt1_gca_002215705.Cryp_neof_Bt1_V1,Cryp_neof_Bt1_V1,18502290,6907,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3563
GCA_002234625.1,Cryptococcus neoformans var. grubii Bt63 (GCA_002234625),Cryptococcus_neoformans_var_grubii_bt63_gca_002234625.Cryp_neof_Bt63_V1,Cryp_neof_Bt63_V1,18793220,6914,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3566
GCA_002215835.1,Cryptococcus neoformans var. grubii Bt85 (GCA_002215835),Cryptococcus_neoformans_var_grubii_bt85_gca_002215835.Cryp_neof_Bt85_V1,Cryp_neof_Bt85_V1,19238576,6900,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3565
GCA_002215825.1,Cryptococcus neoformans var. grubii C23 (GCA_002215825),Cryptococcus_neoformans_var_grubii_c23_gca_002215825.Cryp_neof_C23_V1,Cryp_neof_C23_V1,18885614,6932,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3585
GCA_002215855.1,Cryptococcus neoformans var. grubii c45 (GCA_002215855),Cryptococcus_neoformans_var_grubii_c45_gca_002215855.Cryp_neof_C45_V1,Cryp_neof_C45_V1,18184845,6900,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3542
GCA_002222405.1,Cryptococcus neoformans var. grubii c8 (GCA_002222405),Cryptococcus_neoformans_var_grubii_c8_gca_002222405.Cryp_neof_C8_V1,Cryp_neof_C8_V1,18629901,6961,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3588
GCA_002222295.1,Cryptococcus neoformans var. grubii CHC193 (GCA_002222295),Cryptococcus_neoformans_var_grubii_chc193_gca_002222295.Cryp_neof_CHC193_V1,Cryp_neof_CHC193_V1,18648543,6960,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3569
GCA_002222255.1,Cryptococcus neoformans var. grubii D17-1 (GCA_002222255),Cryptococcus_neoformans_var_grubii_d17_1_gca_002222255.Cryp_neof_D17_1_V1,Cryp_neof_D17_1_V1,18639132,6895,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3550
GCA_002224005.1,Cryptococcus neoformans var. grubii Gb118 (GCA_002224005),Cryptococcus_neoformans_var_grubii_gb118_gca_002224005.Cryp_neof_Gb118_V1,Cryp_neof_Gb118_V1,18452313,6908,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3593
GCA_002215755.1,Cryptococcus neoformans var. grubii str. V2 (GCA_002215755),Cryptococcus_neoformans_var_grubii_gca_002215755.Cneo_seroA_V2,Cneo_seroA_V2,18368897,7037,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3596
GCA_002216725.1,Cryptococcus neoformans var. grubii str. KN99 (GCA_002216725),Cryptococcus_neoformans_var_grubii_gca_002216725.ASM221672v1,ASM221672v1,18914647,6967,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,4033
GCA_002217545.1,Cryptococcus neoformans var. grubii str. CCTP51 (GCA_002217545),Cryptococcus_neoformans_var_grubii_gca_002217545.Cryp_neof_grubii_cng10_V1,Cryp_neof_grubii_cng10_V1,18083839,6840,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3519
GCA_002220045.1,Cryptococcus neoformans var. grubii str. WM-1408 (GCA_002220045),Cryptococcus_neoformans_var_grubii_gca_002220045.Cneo_seroA_WM1408,Cneo_seroA_WM1408,18619184,6996,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3577
GCA_002222015.1,Cryptococcus neoformans var. grubii str. RCT54 (GCA_002222015),Cryptococcus_neoformans_var_grubii_gca_002222015.Cryp_neof_grubii_cng8_V1,Cryp_neof_grubii_cng8_V1,18606003,6969,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3577
GCA_002222025.1,Cryptococcus neoformans var. grubii str. CM64 (GCA_002222025),Cryptococcus_neoformans_var_grubii_gca_002222025.Cryp_neof_grubii_cng4_V1,Cryp_neof_grubii_cng4_V1,18568655,6941,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3587
GCA_002222095.1,Cryptococcus neoformans var. grubii str. RCT6 (GCA_002222095),Cryptococcus_neoformans_var_grubii_gca_002222095.Cryp_neof_grubii_cng7_V1,Cryp_neof_grubii_cng7_V1,18602782,6996,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3610
GCA_002222115.1,Cryptococcus neoformans var. grubii str. CM20 (GCA_002222115),Cryptococcus_neoformans_var_grubii_gca_002222115.Cryp_neof_grubii_cng5_V1,Cryp_neof_grubii_cng5_V1,18516783,6949,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3580
GCA_002222135.1,Cryptococcus neoformans var. grubii str. CM50 (GCA_002222135),Cryptococcus_neoformans_var_grubii_gca_002222135.Cryp_neof_grubii_cng1_V1,Cryp_neof_grubii_cng1_V1,18560305,6942,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3576
GCA_002222145.1,Cryptococcus neoformans var. grubii str. CM24 (GCA_002222145),Cryptococcus_neoformans_var_grubii_gca_002222145.Cryp_neof_grubii_cng6_V1,Cryp_neof_grubii_cng6_V1,18557031,6942,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3595
GCA_002222155.1,Cryptococcus neoformans var. grubii str. RCT21 (GCA_002222155),Cryptococcus_neoformans_var_grubii_gca_002222155.Cryp_neof_grubii_cng11_V1,Cryp_neof_grubii_cng11_V1,18505623,6943,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3558
GCA_002222165.1,Cryptococcus neoformans var. grubii str. CM52 (GCA_002222165),Cryptococcus_neoformans_var_grubii_gca_002222165.Cryp_neof_grubii_cng3_V1,Cryp_neof_grubii_cng3_V1,18521151,6947,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3581
GCA_002222245.1,Cryptococcus neoformans var. grubii str. CM36 (GCA_002222245),Cryptococcus_neoformans_var_grubii_gca_002222245.Cryp_neof_grubii_cng2_V1,Cryp_neof_grubii_cng2_V1,18610299,6927,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3587
GCA_000149245.3,Cryptococcus neoformans var. grubii H99 (GCA_000149245),Cryptococcus_neoformans_var_grubii_h99_gca_000149245.CNA3,CNA3,18916112,6975,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,4036
GCA_002222455.1,Cryptococcus neoformans var. grubii MW-RSA1955 (GCA_002222455),Cryptococcus_neoformans_var_grubii_mw_rsa1955_gca_002222455.Cryp_neof_MW_RSA1955_V1,Cryp_neof_MW_RSA1955_V1,18512298,6940,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3570
GCA_002222395.1,Cryptococcus neoformans var. grubii MW-RSA36 (GCA_002222395),Cryptococcus_neoformans_var_grubii_mw_rsa36_gca_002222395.Cryp_neof_MW_RSA36_V1,Cryp_neof_MW_RSA36_V1,18447467,6911,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3585
GCA_002220035.1,Cryptococcus neoformans var. grubii MW-RSA852 (GCA_002220035),Cryptococcus_neoformans_var_grubii_mw_rsa852_gca_002220035.Cryp_neof_MW_RSA852_V1,Cryp_neof_MW_RSA852_V1,17986510,6909,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3548
GCA_002222315.1,Cryptococcus neoformans var. grubii Th84 (GCA_002222315),Cryptococcus_neoformans_var_grubii_th84_gca_002222315.Cryp_neof_Th84_V1,Cryp_neof_Th84_V1,18598528,6941,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3602
GCA_002222325.1,Cryptococcus neoformans var. grubii Tu259-1 (GCA_002222325),Cryptococcus_neoformans_var_grubii_tu259_1_gca_002222325.Cryp_neof_Tu259_1_V1,Cryp_neof_Tu259_1_V1,18573228,6942,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3579
GCA_002222475.1,Cryptococcus neoformans var. grubii Tu401-1 (GCA_002222475),Cryptococcus_neoformans_var_grubii_tu401_1_gca_002222475.Cryp_neof_Tu401_1_V1,Cryp_neof_Tu401_1_V1,18574041,6862,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3545
GCA_002222385.1,Cryptococcus neoformans var. grubii Ze90-1 (GCA_002222385),Cryptococcus_neoformans_var_grubii_ze90_1_gca_002222385.Cryp_neof_Ze90_1_V1,Cryp_neof_Ze90_1_V1,18658870,6912,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3556
GCA_000149385.1,Cryptococcus neoformans var. neoformans B-3501A (GCA_000149385),Cryptococcus_neoformans_var_neoformans_b_3501a_gca_000149385.ASM14938v1,ASM14938v1,19699782,6500,5207,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,Cryptococcus neoformans,3492
GCA_001027345.1,Cutaneotrichosporon oleaginosum str. IBC0246 (GCA_001027345),Cutaneotrichosporon_oleaginosum_gca_001027345.Triol1,Triol1,19835558,8320,879819,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,Cutaneotrichosporon oleaginosum,3997
GCA_001983305.1,Cyberlindnera fabianii str. 65 (GCA_001983305),Cyberlindnera_fabianii_gca_001983305.ASM198330v1,ASM198330v1,12188250,5509,36022,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera fabianii,2060
GCA_003205855.1,Cyberlindnera fabianii str. YJS4271 (GCA_003205855),Cyberlindnera_fabianii_gca_003205855.ASM320585v1,ASM320585v1,12277034,5674,36022,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera fabianii,2176
GCA_001245095.1,Cyberlindnera jadinii str. CBS1600 (GCA_001245095),Cyberlindnera_jadinii_gca_001245095.cj1,cj1,12707304,5057,4903,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera jadinii,1725
GCA_001661405.1,Cyberlindnera jadinii NRRL Y-1542 (GCA_001661405),Cyberlindnera_jadinii_nrrl_y_1542_gca_001661405.Cybja1,Cybja1,13018415,6032,4903,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,Cyberlindnera jadinii,1833
GCA_000934385.1,Cylindrobasidium torrendii FP15055 ss-10 (GCA_000934385),Cylindrobasidium_torrendii_fp15055_ss_10_gca_000934385.Cylto1,Cylto1,31574086,13927,394432,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Cylindrobasidium,Cylindrobasidium torrendii,5189
GCA_000365145.2,Cyphellophora europaea CBS 101466 (GCA_000365145),Cyphellophora_europaea_cbs_101466_gca_000365145.Phia_euro_CBS_101466_V1,Phia_euro_CBS_101466_V1,28781303,11094,293227,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora europaea,5128
GCA_000292625.1,Dacryopinax primogenitus str. DJM-731 SS1 (GCA_000292625),Dacryopinax_primogenitus_gca_000292625.Dacryopinax_sp._DJM_731_SSP1_v1.0,Dacryopinax sp. DJM 731 SSP1 v1.0,29503487,10240,1858805,Basidiomycota,Agaricomycotina,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Dacryopinax,Dacryopinax primogenitus,3778
GCA_000441935.1,Dactylellina haptotyla CBS 200.50 (GCA_000441935),Dactylellina_haptotyla_cbs_200_50_gca_000441935.MHA_v2,MHA_v2,39531920,10959,430498,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Dactylellina,Dactylellina haptotyla,5122
GCA_001632345.1,Daedalea quercina L-15889 (GCA_001632345),Daedalea_quercina_l_15889_gca_001632345.Daequ1,Daequ1,32736329,12191,40437,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Fomitopsidaceae,Daedalea,Daedalea quercina,4693
GCA_002120325.1,Daldinia sp. EC12 (GCA_002120325),Daldinia_sp_ec12_gca_002120325.DalEC12_v.1.0,DalEC12 v.1.0,37551009,11161,1001832,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Daldinia,Daldinia sp. EC12,4601
GCA_001447935.1,Debaryomyces fabryi str. CBS 789 (GCA_001447935),Debaryomyces_fabryi_gca_001447935.debFab1.0,debFab1.0,11700921,6027,58627,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces fabryi,2100
GCA_000006445.2,Debaryomyces hansenii CBS767 (GCA_000006445),Debaryomyces_hansenii_cbs767_gca_000006445.ASM644v2,ASM644v2,12152486,6272,4959,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Debaryomyces,Debaryomyces hansenii,2251
GCA_001006365.1,Diaporthe ampelina (GCA_001006365),Diaporthe_ampelina_gca_001006365.UCDDA912v1.0,UCDDA912v1.0,47325858,10704,1214573,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe ampelina,4328
GCA_001702395.2,Diaporthe helianthi str. 7/96 (GCA_001702395),Diaporthe_helianthi_gca_001702395.DHEL01v2,DHEL01v2,63672038,13139,158607,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe helianthi,6033
GCA_000275845.1,Dichomitus squalens LYAD-421 SS1 (GCA_000275845),Dichomitus_squalens_lyad_421_ss1_gca_000275845.Dichomitus_squalens_v1.0,Dichomitus squalens v1.0,42748430,7192,114155,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Polyporaceae,Dichomitus,Dichomitus squalens,2529
GCA_002317995.1,Diplocarpon rosae (GCA_002317995),Diplocarpon_rosae_gca_002317995.ASM231799v1,ASM231799v1,67787034,13761,946125,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Drepanopezizaceae,Diplocarpon,Diplocarpon rosae,6684
GCA_001883845.1,Diplodia corticola str. CBS 112549 (GCA_001883845),Diplodia_corticola_gca_001883845.ASM188384v1,ASM188384v1,34986079,10839,236234,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia corticola,5800
GCA_001006355.1,Diplodia seriata (GCA_001006355),Diplodia_seriata_gca_001006355.UCDDS831v0.1,UCDDS831v0.1,37120944,9343,420778,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia seriata,4004
GCA_001975905.1,Diplodia seriata str. F98.1 (GCA_001975905),Diplodia_seriata_gca_001975905.Dipser_v1,Dipser v1,37268684,8050,420778,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Diplodia seriata,3697
GCA_000340195.1,Dothistroma septosporum,Dothistroma_septosporum.GCA_000340195.1,Dothistroma septosporum NZE10 v1.0,30209431,12400,64363,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,Dothistroma septosporum,4970
GCA_001625195.1,Drechmeria coniospora str. ARSEF 6962 (GCA_001625195),Drechmeria_coniospora_gca_001625195.ASM162519v1,ASM162519v1,32831003,8236,98403,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Drechmeria,Drechmeria coniospora,4527
GCA_000525045.1,Drechslerella stenobrocha 248 (GCA_000525045),Drechslerella_stenobrocha_248_gca_000525045.DREv1,DREv1,21174508,5597,314127,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Drechslerella,Drechslerella stenobrocha,2950
GCA_000230595.3,Edhazardia aedis USNM 41457 (GCA_000230595),Edhazardia_aedis_usnm_41457_gca_000230595.Edha_aedis_V4b,Edha_aedis_V4b,51348006,4190,70536,Microsporidia,,,,,Culicosporidae,Edhazardia,Edhazardia aedis,703
GCA_002240705.1,Elaphomyces granulatus str. OSC145934 (GCA_002240705),Elaphomyces_granulatus_gca_002240705.PX439,PX439,54153615,7171,519963,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces granulatus,3230
GCA_003013795.1,Elsinoe australis str. NL1 (GCA_003013795),Elsinoe_australis_gca_003013795.ASM301379v1,ASM301379v1,23337424,9223,40998,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Myriangiales,Elsinoaceae,Elsinoe,Elsinoe australis,4575
GCA_001883825.1,Emergomyces pasteuriana Ep9510 str. UAMH 9510 (GCA_001883825),Emergomyces_pasteuriana_ep9510_gca_001883825.Emmo_past_UAMH9510_V1,Emmo_past_UAMH9510_V1,32410993,8950,1955774,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emergomyces,Emergomyces pasteurianus,4436
GCA_002572855.1,Emmonsia crescens str. UAMH4076 (GCA_002572855),Emmonsia_crescens_gca_002572855.Emmon_cres_4076_V1,Emmon_cres_4076_V1,33754519,8908,73230,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emmonsia,Emmonsia crescens,4388
GCA_001008285.1,Emmonsia crescens UAMH 3008 (GCA_001008285),Emmonsia_crescens_uamh_3008_gca_001008285.ASM100828v1,ASM100828v1,30697411,9444,73230,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emmonsia,Emmonsia crescens,4375
GCA_002572885.1,Emmonsia parva str. UAMH130 (GCA_002572885),Emmonsia_parva_gca_002572885.Emmon_parv_130,Emmon_parv_130,27837035,8201,2060905,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Blastomyces,Blastomyces parvus,4337
