ACCESSION,SPECIES,ASM_NAME,NCBI_TAXID,ASM_LENGTH,TOTAL_PROTEIN,DNA_URL,PEP_URL,FILENAME,phylum,subphylum,class,subclass,order,family,genus,TOTAL_IDP,NAME
GCA_002222165.1,Cryptococcus neoformans var. grubii str. CM52 (GCA_002222165),Cryp_neof_grubii_cng3_V1,5207,18521151,6947,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_gca_002222165/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_gca_002222165/pep,Cryptococcus_neoformans_var_grubii_gca_002222165.Cryp_neof_grubii_cng3_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3581,Cryptococcus_neoformans
GCA_002222245.1,Cryptococcus neoformans var. grubii str. CM36 (GCA_002222245),Cryp_neof_grubii_cng2_V1,5207,18610299,6927,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_gca_002222245/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_gca_002222245/pep,Cryptococcus_neoformans_var_grubii_gca_002222245.Cryp_neof_grubii_cng2_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3587,Cryptococcus_neoformans
GCA_000149245.3,Cryptococcus neoformans var. grubii H99 (GCA_000149245),CNA3,5207,18916112,6975,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_h99_gca_000149245/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_h99_gca_000149245/pep,Cryptococcus_neoformans_var_grubii_h99_gca_000149245.CNA3,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,4036,Cryptococcus_neoformans
GCA_002222455.1,Cryptococcus neoformans var. grubii MW-RSA1955 (GCA_002222455),Cryp_neof_MW_RSA1955_V1,5207,18512298,6940,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_mw_rsa1955_gca_002222455/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_mw_rsa1955_gca_002222455/pep,Cryptococcus_neoformans_var_grubii_mw_rsa1955_gca_002222455.Cryp_neof_MW_RSA1955_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3570,Cryptococcus_neoformans
GCA_002222395.1,Cryptococcus neoformans var. grubii MW-RSA36 (GCA_002222395),Cryp_neof_MW_RSA36_V1,5207,18447467,6911,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_mw_rsa36_gca_002222395/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_mw_rsa36_gca_002222395/pep,Cryptococcus_neoformans_var_grubii_mw_rsa36_gca_002222395.Cryp_neof_MW_RSA36_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3585,Cryptococcus_neoformans
GCA_002220035.1,Cryptococcus neoformans var. grubii MW-RSA852 (GCA_002220035),Cryp_neof_MW_RSA852_V1,5207,17986510,6909,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_mw_rsa852_gca_002220035/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_mw_rsa852_gca_002220035/pep,Cryptococcus_neoformans_var_grubii_mw_rsa852_gca_002220035.Cryp_neof_MW_RSA852_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3548,Cryptococcus_neoformans
GCA_002222315.1,Cryptococcus neoformans var. grubii Th84 (GCA_002222315),Cryp_neof_Th84_V1,5207,18598528,6941,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_th84_gca_002222315/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_th84_gca_002222315/pep,Cryptococcus_neoformans_var_grubii_th84_gca_002222315.Cryp_neof_Th84_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3602,Cryptococcus_neoformans
GCA_002222325.1,Cryptococcus neoformans var. grubii Tu259-1 (GCA_002222325),Cryp_neof_Tu259_1_V1,5207,18573228,6942,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_tu259_1_gca_002222325/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_tu259_1_gca_002222325/pep,Cryptococcus_neoformans_var_grubii_tu259_1_gca_002222325.Cryp_neof_Tu259_1_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3579,Cryptococcus_neoformans
GCA_002222475.1,Cryptococcus neoformans var. grubii Tu401-1 (GCA_002222475),Cryp_neof_Tu401_1_V1,5207,18574041,6862,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_tu401_1_gca_002222475/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_tu401_1_gca_002222475/pep,Cryptococcus_neoformans_var_grubii_tu401_1_gca_002222475.Cryp_neof_Tu401_1_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3545,Cryptococcus_neoformans
GCA_002222385.1,Cryptococcus neoformans var. grubii Ze90-1 (GCA_002222385),Cryp_neof_Ze90_1_V1,5207,18658870,6912,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_ze90_1_gca_002222385/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_grubii_ze90_1_gca_002222385/pep,Cryptococcus_neoformans_var_grubii_ze90_1_gca_002222385.Cryp_neof_Ze90_1_V1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3556,Cryptococcus_neoformans
GCA_000149385.1,Cryptococcus neoformans var. neoformans B-3501A (GCA_000149385),ASM14938v1,5207,19699782,6500,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_neoformans_b_3501a_gca_000149385/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cryptococcus_neoformans_var_neoformans_b_3501a_gca_000149385/pep,Cryptococcus_neoformans_var_neoformans_b_3501a_gca_000149385.ASM14938v1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Tremellales,Cryptococcaceae,Cryptococcus,3492,Cryptococcus_neoformans
GCA_001027345.1,Cutaneotrichosporon oleaginosum str. IBC0246 (GCA_001027345),Triol1,879819,19835558,8320,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cutaneotrichosporon_oleaginosum_gca_001027345/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cutaneotrichosporon_oleaginosum_gca_001027345/pep,Cutaneotrichosporon_oleaginosum_gca_001027345.Triol1,Basidiomycota,Agaricomycotina,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Cutaneotrichosporon,3997,Cutaneotrichosporon_oleaginosum
GCA_001983305.1,Cyberlindnera fabianii str. 65 (GCA_001983305),ASM198330v1,36022,12188250,5509,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/cyberlindnera_fabianii_gca_001983305/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/cyberlindnera_fabianii_gca_001983305/pep,Cyberlindnera_fabianii_gca_001983305.ASM198330v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,2060,Cyberlindnera_fabianii
GCA_003205855.1,Cyberlindnera fabianii str. YJS4271 (GCA_003205855),ASM320585v1,36022,12277034,5674,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/cyberlindnera_fabianii_gca_003205855/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/cyberlindnera_fabianii_gca_003205855/pep,Cyberlindnera_fabianii_gca_003205855.ASM320585v1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,2176,Cyberlindnera_fabianii
GCA_001245095.1,Cyberlindnera jadinii str. CBS1600 (GCA_001245095),cj1,4903,12707304,5057,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/cyberlindnera_jadinii_gca_001245095/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/cyberlindnera_jadinii_gca_001245095/pep,Cyberlindnera_jadinii_gca_001245095.cj1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,1725,Cyberlindnera_jadinii
GCA_001661405.1,Cyberlindnera jadinii NRRL Y-1542 (GCA_001661405),Cybja1,4903,13018415,6032,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/cyberlindnera_jadinii_nrrl_y_1542_gca_001661405/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/cyberlindnera_jadinii_nrrl_y_1542_gca_001661405/pep,Cyberlindnera_jadinii_nrrl_y_1542_gca_001661405.Cybja1,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Phaffomycetaceae,Cyberlindnera,1833,Cyberlindnera_jadinii
GCA_000934385.1,Cylindrobasidium torrendii FP15055 ss-10 (GCA_000934385),Cylto1,394432,31574086,13927,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cylindrobasidium_torrendii_fp15055_ss_10_gca_000934385/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/cylindrobasidium_torrendii_fp15055_ss_10_gca_000934385/pep,Cylindrobasidium_torrendii_fp15055_ss_10_gca_000934385.Cylto1,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricomycetidae,Agaricales,Physalacriaceae,Cylindrobasidium,5189,Cylindrobasidium_torrendii
GCA_000365145.2,Cyphellophora europaea CBS 101466 (GCA_000365145),Phia_euro_CBS_101466_V1,293227,28781303,11094,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/cyphellophora_europaea_cbs_101466_gca_000365145/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/cyphellophora_europaea_cbs_101466_gca_000365145/pep,Cyphellophora_europaea_cbs_101466_gca_000365145.Phia_euro_CBS_101466_V1,Ascomycota,Pezizomycotina,Eurotiomycetes,Chaetothyriomycetidae,Chaetothyriales,Cyphellophoraceae,Cyphellophora,5128,Cyphellophora_europaea
GCA_000292625.1,Dacryopinax primogenitus str. DJM-731 SS1 (GCA_000292625),Dacryopinax sp. DJM 731 SSP1 v1.0,1858805,29503487,10240,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/dacryopinax_primogenitus_gca_000292625/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/dacryopinax_primogenitus_gca_000292625/pep,Dacryopinax_primogenitus_gca_000292625.Dacryopinax_sp._DJM_731_SSP1_v1.0,Basidiomycota,Agaricomycotina,Dacrymycetes,,Dacrymycetales,Dacrymycetaceae,Dacryopinax,3778,Dacryopinax_primogenitus
GCA_000441935.1,Dactylellina haptotyla CBS 200.50 (GCA_000441935),MHA_v2,430498,39531920,10959,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/dactylellina_haptotyla_cbs_200_50_gca_000441935/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/dactylellina_haptotyla_cbs_200_50_gca_000441935/pep,Dactylellina_haptotyla_cbs_200_50_gca_000441935.MHA_v2,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Dactylellina,5122,Dactylellina_haptotyla
GCA_001632345.1,Daedalea quercina L-15889 (GCA_001632345),Daequ1,40437,32736329,12191,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/daedalea_quercina_l_15889_gca_001632345/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/daedalea_quercina_l_15889_gca_001632345/pep,Daedalea_quercina_l_15889_gca_001632345.Daequ1,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Fomitopsidaceae,Daedalea,4693,Daedalea_quercina
GCA_002120325.1,Daldinia sp. EC12 (GCA_002120325),DalEC12 v.1.0,1001832,37551009,11161,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/daldinia_sp_ec12_gca_002120325/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/daldinia_sp_ec12_gca_002120325/pep,Daldinia_sp_ec12_gca_002120325.DalEC12_v.1.0,Ascomycota,Pezizomycotina,Sordariomycetes,Xylariomycetidae,Xylariales,Hypoxylaceae,Daldinia,4601,Daldinia_sp
GCA_001447935.1,Debaryomyces fabryi str. CBS 789 (GCA_001447935),debFab1.0,58627,11700921,6027,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/debaryomyces_fabryi_gca_001447935/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/debaryomyces_fabryi_gca_001447935/pep,Debaryomyces_fabryi_gca_001447935.debFab1.0,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Debaryomyces,2100,Debaryomyces_fabryi
GCA_000006445.2,Debaryomyces hansenii CBS767 (GCA_000006445),ASM644v2,4959,12152486,6272,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/debaryomyces_hansenii_cbs767_gca_000006445/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/debaryomyces_hansenii_cbs767_gca_000006445/pep,Debaryomyces_hansenii_cbs767_gca_000006445.ASM644v2,Ascomycota,Saccharomycotina,Saccharomycetes,,Saccharomycetales,Debaryomycetaceae,Debaryomyces,2251,Debaryomyces_hansenii
GCA_001006365.1,Diaporthe ampelina (GCA_001006365),UCDDA912v1.0,1214573,47325858,10704,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/diaporthe_ampelina_gca_001006365/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/diaporthe_ampelina_gca_001006365/pep,Diaporthe_ampelina_gca_001006365.UCDDA912v1.0,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,4328,Diaporthe_ampelina
GCA_001702395.2,Diaporthe helianthi str. 7/96 (GCA_001702395),DHEL01v2,158607,63672038,13139,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diaporthe_helianthi_gca_001702395/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diaporthe_helianthi_gca_001702395/pep,Diaporthe_helianthi_gca_001702395.DHEL01v2,Ascomycota,Pezizomycotina,Sordariomycetes,Sordariomycetidae,Diaporthales,Diaporthaceae,Diaporthe,6033,Diaporthe_helianthi
GCA_000275845.1,Dichomitus squalens LYAD-421 SS1 (GCA_000275845),Dichomitus squalens v1.0,114155,42748430,7192,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/dichomitus_squalens_lyad_421_ss1_gca_000275845/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_basidiomycota1_collection/dichomitus_squalens_lyad_421_ss1_gca_000275845/pep,Dichomitus_squalens_lyad_421_ss1_gca_000275845.Dichomitus_squalens_v1.0,Basidiomycota,Agaricomycotina,Agaricomycetes,,Polyporales,Polyporaceae,Dichomitus,2529,Dichomitus_squalens
GCA_002317995.1,Diplocarpon rosae (GCA_002317995),ASM231799v1,946125,67787034,13761,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diplocarpon_rosae_gca_002317995/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diplocarpon_rosae_gca_002317995/pep,Diplocarpon_rosae_gca_002317995.ASM231799v1,Ascomycota,Pezizomycotina,Leotiomycetes,,Helotiales,Drepanopezizaceae,Diplocarpon,6684,Diplocarpon_rosae
GCA_001883845.1,Diplodia corticola str. CBS 112549 (GCA_001883845),ASM188384v1,236234,34986079,10839,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diplodia_corticola_gca_001883845/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diplodia_corticola_gca_001883845/pep,Diplodia_corticola_gca_001883845.ASM188384v1,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Diplodia,5800,Diplodia_corticola
GCA_001006355.1,Diplodia seriata (GCA_001006355),UCDDS831v0.1,420778,37120944,9343,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/diplodia_seriata_gca_001006355/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/diplodia_seriata_gca_001006355/pep,Diplodia_seriata_gca_001006355.UCDDS831v0.1,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Diplodia,4004,Diplodia_seriata
GCA_001975905.1,Diplodia seriata str. F98.1 (GCA_001975905),Dipser v1,420778,37268684,8050,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diplodia_seriata_gca_001975905/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/diplodia_seriata_gca_001975905/pep,Diplodia_seriata_gca_001975905.Dipser_v1,Ascomycota,Pezizomycotina,Dothideomycetes,,Botryosphaeriales,Botryosphaeriaceae,Diplodia,3697,Diplodia_seriata
GCA_000340195.1,Dothistroma septosporum,Dothistroma septosporum NZE10 v1.0,64363,30209431,12400,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/dothistroma_septosporum/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/dothistroma_septosporum/pep,Dothistroma_septosporum.GCA_000340195.1,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Mycosphaerellales,Mycosphaerellaceae,Dothistroma,4970,Dothistroma_septosporum
GCA_001625195.1,Drechmeria coniospora str. ARSEF 6962 (GCA_001625195),ASM162519v1,98403,32831003,8236,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/drechmeria_coniospora_gca_001625195/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/drechmeria_coniospora_gca_001625195/pep,Drechmeria_coniospora_gca_001625195.ASM162519v1,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Ophiocordycipitaceae,Drechmeria,4527,Drechmeria_coniospora
GCA_000525045.1,Drechslerella stenobrocha 248 (GCA_000525045),DREv1,314127,21174508,5597,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/drechslerella_stenobrocha_248_gca_000525045/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota1_collection/drechslerella_stenobrocha_248_gca_000525045/pep,Drechslerella_stenobrocha_248_gca_000525045.DREv1,Ascomycota,Pezizomycotina,Orbiliomycetes,,Orbiliales,Orbiliaceae,Drechslerella,2950,Drechslerella_stenobrocha
GCA_000230595.3,Edhazardia aedis USNM 41457 (GCA_000230595),Edha_aedis_V4b,70536,51348006,4190,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/edhazardia_aedis_usnm_41457_gca_000230595/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_microsporidia1_collection/edhazardia_aedis_usnm_41457_gca_000230595/pep,Edhazardia_aedis_usnm_41457_gca_000230595.Edha_aedis_V4b,Microsporidia,,,,,Culicosporidae,Edhazardia,703,Edhazardia_aedis
GCA_002240705.1,Elaphomyces granulatus str. OSC145934 (GCA_002240705),PX439,519963,54153615,7171,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/elaphomyces_granulatus_gca_002240705/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/elaphomyces_granulatus_gca_002240705/pep,Elaphomyces_granulatus_gca_002240705.PX439,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Elaphomycetaceae,Elaphomyces,3230,Elaphomyces_granulatus
GCA_003013795.1,Elsinoe australis str. NL1 (GCA_003013795),ASM301379v1,40998,23337424,9223,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/elsinoe_australis_gca_003013795/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota4_collection/elsinoe_australis_gca_003013795/pep,Elsinoe_australis_gca_003013795.ASM301379v1,Ascomycota,Pezizomycotina,Dothideomycetes,Dothideomycetidae,Myriangiales,Elsinoaceae,Elsinoe,4575,Elsinoe_australis
GCA_001883825.1,Emergomyces pasteuriana Ep9510 str. UAMH 9510 (GCA_001883825),Emmo_past_UAMH9510_V1,1955774,32410993,8950,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/emergomyces_pasteuriana_ep9510_gca_001883825/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/emergomyces_pasteuriana_ep9510_gca_001883825/pep,Emergomyces_pasteuriana_ep9510_gca_001883825.Emmo_past_UAMH9510_V1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emergomyces,4436,Emergomyces_pasteuriana
GCA_002572855.1,Emmonsia crescens str. UAMH4076 (GCA_002572855),Emmon_cres_4076_V1,73230,33754519,8908,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/emmonsia_crescens_gca_002572855/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/emmonsia_crescens_gca_002572855/pep,Emmonsia_crescens_gca_002572855.Emmon_cres_4076_V1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emmonsia,4388,Emmonsia_crescens
GCA_001008285.1,Emmonsia crescens UAMH 3008 (GCA_001008285),ASM100828v1,73230,30697411,9444,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/emmonsia_crescens_uamh_3008_gca_001008285/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/emmonsia_crescens_uamh_3008_gca_001008285/pep,Emmonsia_crescens_uamh_3008_gca_001008285.ASM100828v1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Emmonsia,4375,Emmonsia_crescens
GCA_002572885.1,Emmonsia parva str. UAMH130 (GCA_002572885),Emmon_parv_130,2060905,27837035,8201,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/emmonsia_parva_gca_002572885/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota3_collection/emmonsia_parva_gca_002572885/pep,Emmonsia_parva_gca_002572885.Emmon_parv_130,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Blastomyces,4337,Emmonsia_parva
GCA_001014755.1,Emmonsia parva UAMH 139 (GCA_001014755),ASM101475v1,2060905,30969503,8562,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/emmonsia_parva_uamh_139_gca_001014755/dna,http://ftp.ebi.ac.uk/ensemblgenomes/pub/release-49/fungi/fasta/fungi_ascomycota2_collection/emmonsia_parva_uamh_139_gca_001014755/pep,Emmonsia_parva_uamh_139_gca_001014755.ASM101475v1,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Onygenales,Ajellomycetaceae,Blastomyces,3993,Emmonsia_parva
